id,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
53,3200502,1,1,1,1,09/12/2014 06:04,09/12/2014 06:05,1.87,0.5403,17.37,38.5,3,1,3,1,3,,4.02,1,0,0,0,0,OTHER,OTHER
54,3200502,1,2,1,2,09/12/2014 06:09,09/12/2014 06:31,21.35,7.753,21.79,48.5,3,2,"3,1",2,"1,3",34.822792,212.38,1,0,0,0,0,OTHER,WORK
55,3200502,1,3,1,3,09/12/2014 10:03,09/12/2014 10:08,5.13,0.2213,2.59,5,1,1,1,1,1,151.57062,23.72,1,0,0,0,0,WORK,OTHER
56,3200502,1,4,1,4,09/12/2014 10:32,09/12/2014 10:35,3.05,0.1559,3.07,3.7,1,1,1,1,1,183.432289,117.73,1,0,0,0,0,OTHER,OTHER
57,3200502,1,5,1,5,09/12/2014 12:33,09/12/2014 12:40,7.47,0.3976,3.2,3.7,1,1,1,1,1,144.44046,24.18,1,0,0,0,0,OTHER,OTHER
58,3200502,1,6,1,6,09/12/2014 13:04,09/12/2014 13:14,9.78,0.4455,2.73,4.3,1,1,1,1,1,211.33603,178.13,1,0,0,0,0,OTHER,OTHER
59,3200502,1,7,1,7,09/12/2014 16:12,09/12/2014 16:39,26.57,8.396,18.96,47.8,3,2,"1,3",2,"1,3",99.874428,42.17,1,0,0,0,0,OTHER,HOME
60,3200502,1,8,1,8,09/12/2014 17:21,09/12/2014 17:45,24.15,10.1197,25.14,60.9,3,2,"3,1",2,"1,3",0,35.35,1,0,0,0,0,HOME,OTHER
61,3200502,1,9,1,9,09/12/2014 18:21,09/12/2014 18:41,19.93,10.3778,31.24,67.1,3,2,"1,3",2,"1,3",8.852213,690.67,1,0,0,0,0,OTHER,HOME
62,3200502,1,10,2,1,10/12/2014 06:11,10/12/2014 06:34,22.35,9.1231,24.49,51,3,2,"3,1",2,"1,3",29.124358,126,1,0,0,0,0,HOME,OTHER
63,3200502,1,11,2,2,10/12/2014 08:40,10/12/2014 08:42,2.33,0.1785,4.59,3.7,1,1,1,1,1,224.642447,17.93,1,0,0,0,0,OTHER,OTHER
64,3200502,1,12,2,3,10/12/2014 09:00,10/12/2014 09:02,2.13,0.1075,3.02,3.7,1,1,1,1,1,45.054076,340.52,1,0,0,0,0,OTHER,OTHER
65,3200502,1,13,2,4,10/12/2014 14:43,10/12/2014 14:48,5.47,0.5291,5.81,23,3,2,"1,3",2,"1,3",187.994835,13.92,1,0,0,0,0,WORK,OTHER
